# Experimento: Drift temporal de corriente oscura
# Dispositivo: MFC60035_01
# Modelo: MICROFC-60035-SMT (onsemi C-Series)
# Batch: 1
# V_br_ref_V: 24.6870
# V_ov_target_V: 2.5
# V_bias_V: 27.1870
# Config: B (HI->catodo, LO->anodo, V positivos)
# I_dark_mean_A: 5.513041720890e-07
# I_dark_std_A: 4.060090268446e-08
# I_dark_mean_nA: 551.3042
# I_dark_std_nA: 40.6009
# Drift_nA_per_min: -2.6459
# Drift_total_nA: -119.07
# Drift_total_pct: -21.5981
# Duration_min: 45.00
# N_samples: 8588
# Sample_interval_s: 2.0
# Stabilize_time_s: 10.0
# NPLC: 1.0
# I_compliance_A: 1.000000e-04
# Compliance_hit: False
# Stopped_by_user: False
# Temperatura_C: 16
# Instrumento: KEITHLEY INSTRUMENTS,MODEL 2450,04302182,1.6.1a
# Operador: PI_GammaTracker
# Fecha: 2026-08-24 13:56:46
# Notas: none

time_s,time_min,current_A,current_nA
89.883,1.4980,5.782011000000e-07,578.2011
90.266,1.5044,5.679341000000e-07,567.9341
90.347,1.5058,5.686159000000e-07,568.6159
90.437,1.5073,5.696226000000e-07,569.6226
90.517,1.5086,5.662002000000e-07,566.2002
90.597,1.5100,5.664581000000e-07,566.4581
90.688,1.5115,5.654862000000e-07,565.4862
90.765,1.5128,5.661663000000e-07,566.1663
91.462,1.5244,5.614174000000e-07,561.4174
91.843,1.5307,5.715553000000e-07,571.5553
91.929,1.5322,5.628978000000e-07,562.8978
92.620,1.5437,5.724734000000e-07,572.4734
93.004,1.5501,5.567218000000e-07,556.7218
93.693,1.5616,5.794089000000e-07,579.4089
94.081,1.5680,5.640101000000e-07,564.0101
94.161,1.5694,5.669907000000e-07,566.9907
94.854,1.5809,5.781751000000e-07,578.1751
95.239,1.5873,5.681161000000e-07,568.1161
95.322,1.5887,5.638552000000e-07,563.8552
96.013,1.6002,5.730913000000e-07,573.0913
96.398,1.6066,5.644654000000e-07,564.4654
97.087,1.6181,5.724525000000e-07,572.4525
97.475,1.6246,5.752176000000e-07,575.2176
97.555,1.6259,5.676499000000e-07,567.6499
98.248,1.6375,5.795453000000e-07,579.5453
98.635,1.6439,5.615789000000e-07,561.5789
98.716,1.6453,5.717136000000e-07,571.7136
99.404,1.6567,5.728493000000e-07,572.8493
99.796,1.6633,5.746792000000e-07,574.6792
99.882,1.6647,5.709084000000e-07,570.9084
99.960,1.6660,5.643116000000e-07,564.3116
100.040,1.6673,5.700169000000e-07,570.0169
100.131,1.6688,5.722160000000e-07,572.2160
100.211,1.6702,5.587238000000e-07,558.7238
100.292,1.6715,5.590919000000e-07,559.0919
100.987,1.6831,5.773732000000e-07,577.3732
101.371,1.6895,5.653644000000e-07,565.3644
101.451,1.6908,5.627995000000e-07,562.7995
102.148,1.7025,5.692735000000e-07,569.2735
102.534,1.7089,5.731530000000e-07,573.1530
102.614,1.7102,5.731790000000e-07,573.1790
103.303,1.7217,5.823746000000e-07,582.3746
103.688,1.7281,5.735705000000e-07,573.5705
104.376,1.7396,5.730799000000e-07,573.0799
104.763,1.7461,5.737978000000e-07,573.7978
104.849,1.7475,5.705216000000e-07,570.5216
105.534,1.7589,5.732877000000e-07,573.2877
105.930,1.7655,5.693700000000e-07,569.3700
106.012,1.7669,5.749613000000e-07,574.9613
106.093,1.7682,5.725706000000e-07,572.5706
106.180,1.7697,5.742701000000e-07,574.2701
106.263,1.7711,5.708044000000e-07,570.8044
106.343,1.7724,5.729045000000e-07,572.9045
106.423,1.7737,5.668620000000e-07,566.8620
107.117,1.7853,5.766697000000e-07,576.6697
107.505,1.7917,5.755286000000e-07,575.5286
107.585,1.7931,5.727558000000e-07,572.7558
108.270,1.8045,5.718019000000e-07,571.8019
108.663,1.8110,5.763375000000e-07,576.3375
109.354,1.8226,5.726416000000e-07,572.6416
109.735,1.8289,5.717586000000e-07,571.7586
109.822,1.8304,5.736451000000e-07,573.6451
110.514,1.8419,5.802619000000e-07,580.2619
110.895,1.8482,5.738770000000e-07,573.8770
110.981,1.8497,5.680735000000e-07,568.0735
111.665,1.8611,5.758483000000e-07,575.8483
112.058,1.8676,5.717480000000e-07,571.7480
112.747,1.8791,5.776836000000e-07,577.6836
113.134,1.8856,5.700176000000e-07,570.0176
113.216,1.8869,5.739891000000e-07,573.9891
113.904,1.8984,5.646560000000e-07,564.6560
114.290,1.9048,5.733991000000e-07,573.3991
114.370,1.9062,5.702423000000e-07,570.2423
114.461,1.9077,5.699354000000e-07,569.9354
114.545,1.9091,5.650014000000e-07,565.0014
114.621,1.9104,5.657961000000e-07,565.7961
114.712,1.9119,5.720826000000e-07,572.0826
114.792,1.9132,5.692347000000e-07,569.2347
115.480,1.9247,5.738563000000e-07,573.8563
115.864,1.9311,5.681513000000e-07,568.1513
115.954,1.9326,5.810055000000e-07,581.0055
116.637,1.9439,5.726339000000e-07,572.6339
117.026,1.9504,5.733932000000e-07,573.3932
117.106,1.9518,5.718181000000e-07,571.8181
117.795,1.9633,5.717146000000e-07,571.7146
118.187,1.9698,5.676685000000e-07,567.6685
118.875,1.9813,5.799244000000e-07,579.9244
119.265,1.9878,5.699918000000e-07,569.9918
119.349,1.9892,5.696720000000e-07,569.6720
120.039,2.0006,5.690420000000e-07,569.0420
120.419,2.0070,5.669955000000e-07,566.9955
120.509,2.0085,5.738459000000e-07,573.8459
121.194,2.0199,5.692685000000e-07,569.2685
121.585,2.0264,5.698158000000e-07,569.8158
122.271,2.0379,5.769084000000e-07,576.9084
122.654,2.0442,5.697772000000e-07,569.7772
122.744,2.0457,5.669817000000e-07,566.9817
123.432,2.0572,5.814927000000e-07,581.4927
123.820,2.0637,5.660867000000e-07,566.0867
123.900,2.0650,5.698313000000e-07,569.8313
124.588,2.0765,5.723559000000e-07,572.3559
124.978,2.0830,5.658439000000e-07,565.8439
125.058,2.0843,5.729122000000e-07,572.9122
125.139,2.0856,5.708314000000e-07,570.8314
125.226,2.0871,5.661877000000e-07,566.1877
125.308,2.0885,5.690741000000e-07,569.0741
125.394,2.0899,5.694840000000e-07,569.4840
125.477,2.0913,5.708422000000e-07,570.8422
126.163,2.1027,5.798415000000e-07,579.8415
126.552,2.1092,5.728125000000e-07,572.8125
126.632,2.1105,5.688814000000e-07,568.8814
127.327,2.1221,5.758096000000e-07,575.8096
127.708,2.1285,5.668513000000e-07,566.8513
128.401,2.1400,5.755273000000e-07,575.5273
128.784,2.1464,5.695794000000e-07,569.5794
128.874,2.1479,5.691646000000e-07,569.1646
129.558,2.1593,5.763942000000e-07,576.3942
129.943,2.1657,5.695138000000e-07,569.5138
130.033,2.1672,5.728097000000e-07,572.8097
130.114,2.1686,5.802696000000e-07,580.2696
130.194,2.1699,5.731788000000e-07,573.1788
130.285,2.1714,5.650077000000e-07,565.0077
130.365,2.1728,5.682393000000e-07,568.2393
130.445,2.1741,5.728875000000e-07,572.8875
131.136,2.1856,5.731436000000e-07,573.1436
131.523,2.1921,5.694017000000e-07,569.4017
131.604,2.1934,5.657072000000e-07,565.7072
132.301,2.2050,5.694279000000e-07,569.4279
132.679,2.2113,5.671766000000e-07,567.1766
132.770,2.2128,5.731467000000e-07,573.1467
132.850,2.2142,5.776905000000e-07,577.6905
132.937,2.2156,5.720512000000e-07,572.0512
133.014,2.2169,5.728101000000e-07,572.8101
133.104,2.2184,5.705828000000e-07,570.5828
133.185,2.2198,5.718300000000e-07,571.8300
133.879,2.2313,5.739537000000e-07,573.9537
134.264,2.2377,5.770168000000e-07,577.0168
134.345,2.2391,5.706814000000e-07,570.6814
134.431,2.2405,5.748105000000e-07,574.8105
134.515,2.2419,5.738177000000e-07,573.8177
134.596,2.2433,5.683742000000e-07,568.3742
134.676,2.2446,5.711560000000e-07,571.1560
134.766,2.2461,5.759780000000e-07,575.9780
135.455,2.2576,5.673132000000e-07,567.3132
135.838,2.2640,5.748848000000e-07,574.8848
135.919,2.2653,5.671793000000e-07,567.1793
136.613,2.2769,5.782513000000e-07,578.2513
136.996,2.2833,5.659697000000e-07,565.9697
137.076,2.2846,5.768924000000e-07,576.8924
137.770,2.2962,5.776600000000e-07,577.6600
138.156,2.3026,5.787296000000e-07,578.7296
138.842,2.3140,5.816079000000e-07,581.6079
139.234,2.3206,5.726106000000e-07,572.6106
139.321,2.3220,5.709083000000e-07,570.9083
140.010,2.3335,5.731033000000e-07,573.1033
140.387,2.3398,5.690233000000e-07,569.0233
140.472,2.3412,5.734431000000e-07,573.4431
141.169,2.3528,5.780591000000e-07,578.0591
141.550,2.3592,5.736485000000e-07,573.6485
141.635,2.3606,5.726682000000e-07,572.6682
141.715,2.3619,5.691560000000e-07,569.1560
141.806,2.3634,5.721382000000e-07,572.1382
141.886,2.3648,5.642319000000e-07,564.2319
141.966,2.3661,5.786561000000e-07,578.6561
142.056,2.3676,5.680883000000e-07,568.0883
142.744,2.3791,5.810729000000e-07,581.0729
143.131,2.3855,5.705297000000e-07,570.5297
143.215,2.3869,5.805056000000e-07,580.5056
143.901,2.3983,5.770418000000e-07,577.0418
144.291,2.4049,5.649957000000e-07,564.9957
144.371,2.4062,5.737941000000e-07,573.7941
145.056,2.4176,5.765365000000e-07,576.5365
145.445,2.4241,5.759135000000e-07,575.9135
145.526,2.4254,5.748668000000e-07,574.8668
146.220,2.4370,5.769473000000e-07,576.9473
146.607,2.4435,5.764371000000e-07,576.4371
147.298,2.4550,5.824998000000e-07,582.4998
147.677,2.4613,5.701073000000e-07,570.1073
147.760,2.4627,5.732825000000e-07,573.2825
148.458,2.4743,5.781460000000e-07,578.1460
148.840,2.4807,5.700459000000e-07,570.0459
148.925,2.4821,5.820980000000e-07,582.0980
149.610,2.4935,5.779037000000e-07,577.9037
150.004,2.5001,5.740580000000e-07,574.0580
150.078,2.5013,5.732462000000e-07,573.2462
150.771,2.5128,5.850260000000e-07,585.0260
151.159,2.5193,5.802294000000e-07,580.2294
151.238,2.5206,5.763546000000e-07,576.3546
151.328,2.5221,5.781204000000e-07,578.1204
151.408,2.5235,5.796477000000e-07,579.6477
151.489,2.5248,5.782751000000e-07,578.2751
151.579,2.5263,5.734879000000e-07,573.4879
151.659,2.5277,5.758506000000e-07,575.8506
152.352,2.5392,5.723505000000e-07,572.3505
152.732,2.5455,5.740716000000e-07,574.0716
152.822,2.5470,5.770386000000e-07,577.0386
153.507,2.5585,5.710980000000e-07,571.0980
153.897,2.5650,5.740437000000e-07,574.0437
153.977,2.5663,5.741048000000e-07,574.1048
154.667,2.5778,5.654447000000e-07,565.4447
155.050,2.5842,5.753565000000e-07,575.3565
155.140,2.5857,5.762498000000e-07,576.2498
155.822,2.5970,5.774044000000e-07,577.4044
156.209,2.6035,5.718853000000e-07,571.8853
156.299,2.6050,5.698442000000e-07,569.8442
156.990,2.6165,5.798409000000e-07,579.8409
157.368,2.6228,5.784586000000e-07,578.4586
157.458,2.6243,5.843485000000e-07,584.3485
158.142,2.6357,5.832707000000e-07,583.2707
158.533,2.6422,5.784927000000e-07,578.4927
159.224,2.6537,5.716732000000e-07,571.6732
159.606,2.6601,5.768461000000e-07,576.8461
159.695,2.6616,5.831328000000e-07,583.1328
